municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-06 18:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-06 19:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-06 20:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-06 21:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-06 22:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-06 23:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 00:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 01:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 02:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 03:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 04:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 05:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 06:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 07:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 08:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 09:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 10:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 11:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 12:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 13:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 14:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 15:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 16:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 17:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 18:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 19:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 20:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 21:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 22:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-07 23:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 00:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 01:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 02:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 03:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 04:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 05:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 06:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 07:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 08:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 09:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 10:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 11:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 12:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 13:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 14:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 15:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 16:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 17:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 18:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 19:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 20:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 21:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 22:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-08 23:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 00:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 01:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 02:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 03:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 04:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 05:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 06:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 07:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 08:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 09:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 10:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 11:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 12:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 13:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 14:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 15:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 16:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 17:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 18:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 19:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 20:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 20:10:00.0;0,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 20:20:00.0;2,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 20:30:00.0;1,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 20:40:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 20:50:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 21:00:00.0;4,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 21:10:00.0;8,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 21:20:00.0;1,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 21:30:00.0;0,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 22:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-09 23:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 00:00:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 00:10:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 01:00:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 02:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 03:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 03:40:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 04:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 05:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 06:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 07:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 08:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 09:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 10:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 11:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 12:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 13:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 14:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 15:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 16:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 17:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 18:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 19:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 20:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 21:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 22:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-10 23:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 00:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 01:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 02:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 03:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 04:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 05:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 06:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 07:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 08:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 09:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 10:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 11:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 12:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 13:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 14:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 15:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 16:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 17:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 18:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 18:10:00.0;2,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 18:20:00.0;9,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 18:30:00.0;18,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 18:40:00.0;8,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 18:50:00.0;3,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 19:00:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 20:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 20:50:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 21:00:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 21:10:00.0;0,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 21:20:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 21:30:00.0;0,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 21:40:00.0;1,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 21:50:00.0;3,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 22:00:00.0;1,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 22:10:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 22:20:00.0;1,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 22:30:00.0;4,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 22:40:00.0;3,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 22:50:00.0;2,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 23:00:00.0;1,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 23:10:00.0;1,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 23:20:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 23:30:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 23:40:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-11 23:50:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 00:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 00:10:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 01:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 02:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 03:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 04:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 05:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 06:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 07:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 07:20:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 08:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 09:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 10:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 11:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 12:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 13:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 14:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 15:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 15:40:00.0;1,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 15:50:00.0;4,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 16:00:00.0;6,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 16:10:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 17:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 18:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 19:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 20:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 21:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 21:30:00.0;6,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 21:40:00.0;7,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 21:50:00.0;5,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 22:00:00.0;3,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 22:10:00.0;2,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 22:20:00.0;1,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 22:30:00.0;2,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 22:40:00.0;1,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 22:50:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 23:00:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 23:10:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 23:20:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 23:30:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 23:40:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-12 23:50:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 00:00:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 01:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 02:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 02:20:00.0;0,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 02:30:00.0;4,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 02:40:00.0;1,80
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 02:50:00.0;0,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 03:00:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 03:10:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 04:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 05:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 06:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 06:20:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 07:00:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 07:10:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 07:20:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 07:30:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 07:40:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 07:50:00.0;0,60
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 08:00:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 08:10:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 08:20:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 08:30:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 08:50:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 09:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 10:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 11:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 12:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 13:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 14:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 14:40:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 15:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 16:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 17:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 18:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 19:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 20:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 21:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 22:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 23:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 23:30:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-13 23:50:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-14 00:00:00.0;0,00
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-14 00:10:00.0;0,40
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-14 00:20:00.0;0,20
COLOMBO;410580501A;PR;Alto da Cruz;-25,3612;-49,1892;2025-03-14 01:00:00.0;0,20
